************* Module test_file
test_file.py:616:0: C0305: Trailing newlines (trailing-newlines)
test_file.py:425:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:426:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:427:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:428:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:429:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:430:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:431:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:432:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:433:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:434:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:435:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:436:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:437:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:438:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:439:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:440:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:441:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:442:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:443:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:444:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:445:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:446:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:447:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:448:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:449:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:450:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:451:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:452:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:453:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:454:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:455:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:456:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:457:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:458:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:459:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:460:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:461:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:462:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:463:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:466:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:467:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:468:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:469:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:470:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:471:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:472:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:473:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:474:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:475:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:476:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:477:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:478:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:479:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:480:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:481:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:482:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:483:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:484:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:485:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:486:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:487:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:488:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:489:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:490:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:491:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:492:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:493:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:494:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:495:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:496:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:497:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:498:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:499:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:500:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:501:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:502:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:503:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:504:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:505:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:506:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:507:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:508:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:509:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:510:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:511:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:512:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:513:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:514:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:515:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:516:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:517:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:518:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:519:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:520:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:521:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:522:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:523:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:524:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:525:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:526:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:527:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:528:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:529:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:530:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:531:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:532:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:533:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:534:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:535:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:536:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:537:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:538:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:539:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:540:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:541:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:542:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:543:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:544:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:545:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:546:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:547:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:548:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:549:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:550:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:551:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:552:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:553:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:554:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:555:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:556:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:557:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:558:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:559:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:560:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:561:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:562:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:563:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:564:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:565:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:566:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:567:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:568:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:569:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:1:0: W0611: Unused import requests (unused-import)
test_file.py:2:0: W0611: Unused import threading (unused-import)
test_file.py:3:0: W0611: Unused import time (unused-import)
test_file.py:2:0: C0411: standard import "import threading" should be placed before "import requests" (wrong-import-order)
test_file.py:3:0: C0411: standard import "import time" should be placed before "import requests" (wrong-import-order)

------------------------------------------------------------------
Your code has been rated at 0.65/10 (previous run: 0.65/10, +0.00)

test_file.py:6:FR001:[long_func_with_comments] Function has too many rows (83/80) (function has too many rows)
test_file.py:92:FR001:[long_func_without_comments] Function has too many rows (82/80) (function has too many rows)
test_file.py:186:FR001:[Myclass.Sonclass.long_func_with_comment] Function has too many rows (83/80) (function has too many rows)
test_file.py:271:FR001:[Myclass.Sonclass.long_func_without_comment] Function has too many rows (82/80) (function has too many rows)
test_file.py:358:FR001:[Myclass.long_class_with_comment] Function has too many rows (105/80) (function has too many rows)
test_file.py:465:FR001:[Myclass.long_class_without_comment] Function has too many rows (104/80) (function has too many rows)
test_file.py:182:CF001:[Myclass] Class has too many functions (17/10) (class has too many functions)
test_file.py:92:NC001:[long_func_without_comments] Function or Class has no comments (no comments)
test_file.py:271:NC001:[Myclass.Sonclass.long_func_without_comment] Function or Class has no comments (no comments)
test_file.py:465:NC001:[Myclass.long_class_without_comment] Function or Class has no comments (no comments)
